,Gaia_ID,Ascension,Declination,Distance_50,Binary
239,2427773183673634432,2.6593242,-10.7149976,0.04129,NaN
240,2364722818954076288,2.6799294,-20.6522532,0.03935,NaN
241,2337233417646711936,2.6930204,-23.1420445,0.04398,NaN
242,2798550907108549632,2.7022067,20.4355669,0.0389,NaN
243,2859922927455852160,2.7434511,28.4442818,0.03241,NaN
244,2875876948551037824,2.7524813,34.2356277,0.04267,NaN
245,4683801096308561536,2.7556097,-77.5966145,0.0443,NaN
246,4995031370222361600,2.7580819,-42.2383414,0.03094,NaN
247,2417890390909713920,2.7599956,-14.2004213,0.03997,NaN
248,2310240437249834496,2.7603881,-33.5800392,0.0353,NaN
249,2310240372825841280,2.7620159,-33.5857848,0.03519,NaN
250,2443632711191439104,2.7703542,-5.7839376,0.02433,NaN
251,2742160563492816128,2.7703936,5.2092758,0.03708,NaN
252,2797162567520045824,2.7812819,18.3460052,0.04229,NaN
253,422465425765420160,2.7815164,57.6142821,0.03882,NaN
254,2740441683221667072,2.7860721,2.4657967,0.04109,NaN
255,4994772916270471936,2.790188,-42.6974872,0.04434,NaN
256,2769152783680281216,2.8087011,14.591731,0.03827,NaN
257,2308129860256072448,2.8144513,-37.9490927,0.04499,NaN
258,2416611663182821120,2.8156932,-15.4691759,0.01889,NaN
259,422886126401496064,2.8401417,58.3500137,0.03045,NaN
260,384636109728592768,2.8432896,42.6770251,0.02343,NaN
261,2798979407405707648,2.8438091,21.7956908,0.04317,NaN
262,2861502032312723328,2.8445698,30.4497344,0.03408,NaN
263,420126936328698624,2.8522639,54.0663527,0.0459,NaN
